id,bImg,sImg,price,regName,address,intr,shopprice,commonname,per,bins,sales
1,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,12,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z20030095（国家食药局查询）,江苏济川制药有限公司,10
2,../images/list2.jpg,../images/list2_1.jpg&../images/list2_2.jpg&../images/list2_3.jpg&../images/list2_4.jpg&../images/list2_5.jpg,21,泾渭 固肠止泻丸 30g,160大药房横岗店,适应症：调和肝脾，涩肠止痛。用于肝脾不和，泻痢腹痛，慢性非特异性溃疡性结肠炎上述症候者,19,固肠止泻丸,国药准字Z61020796（国家食药局查询）,陕西中医学院制药厂,15
3,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,15,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z102011497（国家食药局查询）,江苏济川制药有限公司,20
4,../images/list2.jpg,../images/list2_1.jpg&../images/list2_2.jpg&../images/list2_3.jpg&../images/list2_4.jpg&../images/list2_5.jpg,38,泾渭 固肠止泻丸 31g,160大药房横岗店,适应症：调和肝脾，涩肠止痛。用于肝脾不和，泻痢腹痛，慢性非特异性溃疡性结肠炎上述症候者,19,固肠止泻丸,国药准字Z143002198（国家食药局查询）,陕西中医学院制药厂,25
5,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,12,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z183992899（国家食药局查询）,江苏济川制药有限公司,30
6,../images/list2.jpg,../images/list2_1.jpg&../images/list2_2.jpg&../images/list2_3.jpg&../images/list2_4.jpg&../images/list2_5.jpg,21,泾渭 固肠止泻丸 32g,160大药房横岗店,适应症：调和肝脾，涩肠止痛。用于肝脾不和，泻痢腹痛，慢性非特异性溃疡性结肠炎上述症候者,19,固肠止泻丸,国药准字Z224983600（国家食药局查询）,陕西中医学院制药厂,35
7,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,15,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z265974301（国家食药局查询）,江苏济川制药有限公司,40
8,../images/list2.jpg,../images/list2_1.jpg&../images/list2_2.jpg&../images/list2_3.jpg&../images/list2_4.jpg&../images/list2_5.jpg,38,泾渭 固肠止泻丸 33g,160大药房横岗店,适应症：调和肝脾，涩肠止痛。用于肝脾不和，泻痢腹痛，慢性非特异性溃疡性结肠炎上述症候者,19,固肠止泻丸,国药准字Z306965002（国家食药局查询）,陕西中医学院制药厂,45
9,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,12,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z347955703（国家食药局查询）,江苏济川制药有限公司,50
10,../images/list2.jpg,../images/list2_1.jpg&../images/list2_2.jpg&../images/list2_3.jpg&../images/list2_4.jpg&../images/list2_5.jpg,21,泾渭 固肠止泻丸 34g,160大药房横岗店,适应症：调和肝脾，涩肠止痛。用于肝脾不和，泻痢腹痛，慢性非特异性溃疡性结肠炎上述症候者,19,固肠止泻丸,国药准字Z388946404（国家食药局查询）,陕西中医学院制药厂,55
11,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,15,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z429937105（国家食药局查询）,江苏济川制药有限公司,60
12,../images/list2.jpg,../images/list2_1.jpg&../images/list2_2.jpg&../images/list2_3.jpg&../images/list2_4.jpg&../images/list2_5.jpg,38,泾渭 固肠止泻丸 35g,160大药房横岗店,适应症：调和肝脾，涩肠止痛。用于肝脾不和，泻痢腹痛，慢性非特异性溃疡性结肠炎上述症候者,19,固肠止泻丸,国药准字Z470927806（国家食药局查询）,陕西中医学院制药厂,65
13,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,12,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z511918507（国家食药局查询）,江苏济川制药有限公司,70
14,../images/list2.jpg,../images/list2_1.jpg&../images/list2_2.jpg&../images/list2_3.jpg&../images/list2_4.jpg&../images/list2_5.jpg,21,泾渭 固肠止泻丸 36g,160大药房横岗店,适应症：调和肝脾，涩肠止痛。用于肝脾不和，泻痢腹痛，慢性非特异性溃疡性结肠炎上述症候者,19,固肠止泻丸,国药准字Z552909208（国家食药局查询）,陕西中医学院制药厂,75
15,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,15,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z593899909（国家食药局查询）,江苏济川制药有限公司,80
16,../images/list2.jpg,../images/list2_1.jpg&../images/list2_2.jpg&../images/list2_3.jpg&../images/list2_4.jpg&../images/list2_5.jpg,38,泾渭 固肠止泻丸 37g,160大药房横岗店,适应症：调和肝脾，涩肠止痛。用于肝脾不和，泻痢腹痛，慢性非特异性溃疡性结肠炎上述症候者,19,固肠止泻丸,国药准字Z634890610（国家食药局查询）,陕西中医学院制药厂,85
17,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,12,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z675881311（国家食药局查询）,江苏济川制药有限公司,90
18,../images/list2.jpg,../images/list2_1.jpg&../images/list2_2.jpg&../images/list2_3.jpg&../images/list2_4.jpg&../images/list2_5.jpg,21,泾渭 固肠止泻丸 38g,160大药房横岗店,适应症：调和肝脾，涩肠止痛。用于肝脾不和，泻痢腹痛，慢性非特异性溃疡性结肠炎上述症候者,19,固肠止泻丸,国药准字Z716872012（国家食药局查询）,陕西中医学院制药厂,95
19,../images/list1.jpg,../images/list1_1.jpg&../images/list1_2.jpg&../images/list1_3.jpg&../images/list1_4.jpg&../images/list1_5.jpg,15,济川 蒲地蓝消炎口服液 ...,160大药房横岗店,适应症：清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。,45,蒲地蓝消炎口服液,国药准字Z757862713（国家食药局查询）,江苏济川制药有限公司,100
